scenario,baseline,metric,n,unique_values,mode_value,mode_fraction,std,cv_percent
audio_stress_signal,B1,event_detection_accuracy,30,1,0.0,1.0,0.0,
audio_stress_signal,B1,false_positive_rate,30,1,1.0,1.0,0.0,0.0
audio_stress_signal,B1,false_negative_rate,30,1,1.0,1.0,0.0,0.0
audio_stress_signal,B1,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
audio_stress_signal,B1,end_to_end_latency_ms,30,20,329.0,0.1,43.433269,13.34
audio_stress_signal,B2,event_detection_accuracy,30,1,0.0,1.0,0.0,
audio_stress_signal,B2,false_positive_rate,30,1,0.0,1.0,0.0,
audio_stress_signal,B2,false_negative_rate,30,1,1.0,1.0,0.0,0.0
audio_stress_signal,B2,explanation_completeness_score,30,1,0.0,1.0,0.0,
audio_stress_signal,B2,end_to_end_latency_ms,30,20,317.0,0.1,22.566051,7.39
audio_stress_signal,B3,event_detection_accuracy,30,1,0.0,1.0,0.0,
audio_stress_signal,B3,false_positive_rate,30,1,1.0,1.0,0.0,0.0
audio_stress_signal,B3,false_negative_rate,30,1,1.0,1.0,0.0,0.0
audio_stress_signal,B3,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
audio_stress_signal,B3,end_to_end_latency_ms,30,20,362.0,0.1,22.566051,6.44
audio_stress_signal,B4,event_detection_accuracy,30,1,0.0,1.0,0.0,
audio_stress_signal,B4,false_positive_rate,30,1,1.0,1.0,0.0,0.0
audio_stress_signal,B4,false_negative_rate,30,1,1.0,1.0,0.0,0.0
audio_stress_signal,B4,explanation_completeness_score,30,1,0.0,1.0,0.0,
audio_stress_signal,B4,end_to_end_latency_ms,30,20,179.0,0.1,22.566051,13.5
audio_stress_signal,B5,event_detection_accuracy,30,1,0.0,1.0,0.0,
audio_stress_signal,B5,false_positive_rate,30,1,1.0,1.0,0.0,0.0
audio_stress_signal,B5,false_negative_rate,30,1,1.0,1.0,0.0,0.0
audio_stress_signal,B5,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
audio_stress_signal,B5,end_to_end_latency_ms,30,20,179.0,0.1,22.566051,13.5
crowd_acceleration,B1,event_detection_accuracy,30,1,0.0,1.0,0.0,
crowd_acceleration,B1,false_positive_rate,30,1,1.0,1.0,0.0,0.0
crowd_acceleration,B1,false_negative_rate,30,1,1.0,1.0,0.0,0.0
crowd_acceleration,B1,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
crowd_acceleration,B1,end_to_end_latency_ms,30,20,329.0,0.1,43.433269,13.34
crowd_acceleration,B2,event_detection_accuracy,30,1,0.0,1.0,0.0,
crowd_acceleration,B2,false_positive_rate,30,1,0.0,1.0,0.0,
crowd_acceleration,B2,false_negative_rate,30,1,1.0,1.0,0.0,0.0
crowd_acceleration,B2,explanation_completeness_score,30,1,0.0,1.0,0.0,
crowd_acceleration,B2,end_to_end_latency_ms,30,20,317.0,0.1,22.566051,7.39
crowd_acceleration,B3,event_detection_accuracy,30,1,0.0,1.0,0.0,
crowd_acceleration,B3,false_positive_rate,30,1,1.0,1.0,0.0,0.0
crowd_acceleration,B3,false_negative_rate,30,1,1.0,1.0,0.0,0.0
crowd_acceleration,B3,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
crowd_acceleration,B3,end_to_end_latency_ms,30,20,362.0,0.1,22.566051,6.44
crowd_acceleration,B4,event_detection_accuracy,30,1,0.0,1.0,0.0,
crowd_acceleration,B4,false_positive_rate,30,1,1.0,1.0,0.0,0.0
crowd_acceleration,B4,false_negative_rate,30,1,1.0,1.0,0.0,0.0
crowd_acceleration,B4,explanation_completeness_score,30,1,0.0,1.0,0.0,
crowd_acceleration,B4,end_to_end_latency_ms,30,20,179.0,0.1,22.566051,13.5
crowd_acceleration,B5,event_detection_accuracy,30,1,0.0,1.0,0.0,
crowd_acceleration,B5,false_positive_rate,30,1,1.0,1.0,0.0,0.0
crowd_acceleration,B5,false_negative_rate,30,1,1.0,1.0,0.0,0.0
crowd_acceleration,B5,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
crowd_acceleration,B5,end_to_end_latency_ms,30,20,179.0,0.1,22.566051,13.5
evacuation_recommendation,B1,event_detection_accuracy,30,1,0.0,1.0,0.0,
evacuation_recommendation,B1,false_positive_rate,30,1,1.0,1.0,0.0,0.0
evacuation_recommendation,B1,false_negative_rate,30,1,1.0,1.0,0.0,0.0
evacuation_recommendation,B1,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
evacuation_recommendation,B1,end_to_end_latency_ms,30,20,329.0,0.1,43.433269,13.34
evacuation_recommendation,B2,event_detection_accuracy,30,1,0.0,1.0,0.0,
evacuation_recommendation,B2,false_positive_rate,30,1,0.0,1.0,0.0,
evacuation_recommendation,B2,false_negative_rate,30,1,1.0,1.0,0.0,0.0
evacuation_recommendation,B2,explanation_completeness_score,30,1,0.0,1.0,0.0,
evacuation_recommendation,B2,end_to_end_latency_ms,30,20,317.0,0.1,22.566051,7.39
evacuation_recommendation,B3,event_detection_accuracy,30,1,0.0,1.0,0.0,
evacuation_recommendation,B3,false_positive_rate,30,1,1.0,1.0,0.0,0.0
evacuation_recommendation,B3,false_negative_rate,30,1,1.0,1.0,0.0,0.0
evacuation_recommendation,B3,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
evacuation_recommendation,B3,end_to_end_latency_ms,30,20,362.0,0.1,22.566051,6.44
evacuation_recommendation,B4,event_detection_accuracy,30,1,0.0,1.0,0.0,
evacuation_recommendation,B4,false_positive_rate,30,1,1.0,1.0,0.0,0.0
evacuation_recommendation,B4,false_negative_rate,30,1,1.0,1.0,0.0,0.0
evacuation_recommendation,B4,explanation_completeness_score,30,1,0.0,1.0,0.0,
evacuation_recommendation,B4,end_to_end_latency_ms,30,20,179.0,0.1,22.566051,13.5
evacuation_recommendation,B5,event_detection_accuracy,30,1,0.0,1.0,0.0,
evacuation_recommendation,B5,false_positive_rate,30,1,1.0,1.0,0.0,0.0
evacuation_recommendation,B5,false_negative_rate,30,1,1.0,1.0,0.0,0.0
evacuation_recommendation,B5,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
evacuation_recommendation,B5,end_to_end_latency_ms,30,20,179.0,0.1,22.566051,13.5
exit_blockage,B1,event_detection_accuracy,30,1,0.5,1.0,0.0,0.0
exit_blockage,B1,false_positive_rate,30,2,0.3333,0.7333,0.01844,5.35
exit_blockage,B1,false_negative_rate,30,1,0.5,1.0,0.0,0.0
exit_blockage,B1,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
exit_blockage,B1,end_to_end_latency_ms,30,20,329.0,0.1,43.433269,13.34
exit_blockage,B2,event_detection_accuracy,30,2,0.05,0.8,0.02,50.0
exit_blockage,B2,false_positive_rate,30,1,0.0,1.0,0.0,
exit_blockage,B2,false_negative_rate,30,2,0.95,0.8,0.02,2.08
exit_blockage,B2,explanation_completeness_score,30,2,1.0,0.8,0.4,50.0
exit_blockage,B2,end_to_end_latency_ms,30,20,317.0,0.1,22.566051,7.39
exit_blockage,B3,event_detection_accuracy,30,1,0.5,1.0,0.0,0.0
exit_blockage,B3,false_positive_rate,30,2,0.3333,0.7333,0.01844,5.35
exit_blockage,B3,false_negative_rate,30,1,0.5,1.0,0.0,0.0
exit_blockage,B3,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
exit_blockage,B3,end_to_end_latency_ms,30,20,362.0,0.1,22.566051,6.44
exit_blockage,B4,event_detection_accuracy,30,1,0.0,1.0,0.0,
exit_blockage,B4,false_positive_rate,30,1,1.0,1.0,0.0,0.0
exit_blockage,B4,false_negative_rate,30,1,1.0,1.0,0.0,0.0
exit_blockage,B4,explanation_completeness_score,30,1,0.0,1.0,0.0,
exit_blockage,B4,end_to_end_latency_ms,30,20,179.0,0.1,22.566051,13.5
exit_blockage,B5,event_detection_accuracy,30,1,0.5,1.0,0.0,0.0
exit_blockage,B5,false_positive_rate,30,2,0.375,0.7333,0.016274,4.23
exit_blockage,B5,false_negative_rate,30,1,0.5,1.0,0.0,0.0
exit_blockage,B5,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
exit_blockage,B5,end_to_end_latency_ms,30,20,179.0,0.1,22.566051,13.5
multimodal_conflict,B1,event_detection_accuracy,30,1,0.0,1.0,0.0,
multimodal_conflict,B1,false_positive_rate,30,1,1.0,1.0,0.0,0.0
multimodal_conflict,B1,false_negative_rate,30,1,1.0,1.0,0.0,0.0
multimodal_conflict,B1,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
multimodal_conflict,B1,end_to_end_latency_ms,30,20,329.0,0.1,43.433269,13.34
multimodal_conflict,B2,event_detection_accuracy,30,1,0.0,1.0,0.0,
multimodal_conflict,B2,false_positive_rate,30,1,0.0,1.0,0.0,
multimodal_conflict,B2,false_negative_rate,30,1,1.0,1.0,0.0,0.0
multimodal_conflict,B2,explanation_completeness_score,30,1,0.0,1.0,0.0,
multimodal_conflict,B2,end_to_end_latency_ms,30,20,317.0,0.1,22.566051,7.39
multimodal_conflict,B3,event_detection_accuracy,30,1,0.0,1.0,0.0,
multimodal_conflict,B3,false_positive_rate,30,1,1.0,1.0,0.0,0.0
multimodal_conflict,B3,false_negative_rate,30,1,1.0,1.0,0.0,0.0
multimodal_conflict,B3,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
multimodal_conflict,B3,end_to_end_latency_ms,30,20,362.0,0.1,22.566051,6.44
multimodal_conflict,B4,event_detection_accuracy,30,1,0.0,1.0,0.0,
multimodal_conflict,B4,false_positive_rate,30,1,1.0,1.0,0.0,0.0
multimodal_conflict,B4,false_negative_rate,30,1,1.0,1.0,0.0,0.0
multimodal_conflict,B4,explanation_completeness_score,30,1,0.0,1.0,0.0,
multimodal_conflict,B4,end_to_end_latency_ms,30,20,179.0,0.1,22.566051,13.5
multimodal_conflict,B5,event_detection_accuracy,30,1,0.0,1.0,0.0,
multimodal_conflict,B5,false_positive_rate,30,1,1.0,1.0,0.0,0.0
multimodal_conflict,B5,false_negative_rate,30,1,1.0,1.0,0.0,0.0
multimodal_conflict,B5,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
multimodal_conflict,B5,end_to_end_latency_ms,30,20,179.0,0.1,22.566051,13.5
normal_flow,B1,event_detection_accuracy,30,1,1.0,1.0,0.0,0.0
normal_flow,B1,false_positive_rate,30,1,0.0,1.0,0.0,
normal_flow,B1,false_negative_rate,30,1,0.0,1.0,0.0,
normal_flow,B1,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
normal_flow,B1,end_to_end_latency_ms,30,20,329.0,0.1,43.433269,13.34
normal_flow,B2,event_detection_accuracy,30,1,0.0,1.0,0.0,
normal_flow,B2,false_positive_rate,30,1,0.0,1.0,0.0,
normal_flow,B2,false_negative_rate,30,1,1.0,1.0,0.0,0.0
normal_flow,B2,explanation_completeness_score,30,1,0.0,1.0,0.0,
normal_flow,B2,end_to_end_latency_ms,30,20,317.0,0.1,22.566051,7.39
normal_flow,B3,event_detection_accuracy,30,1,1.0,1.0,0.0,0.0
normal_flow,B3,false_positive_rate,30,1,0.0,1.0,0.0,
normal_flow,B3,false_negative_rate,30,1,0.0,1.0,0.0,
normal_flow,B3,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
normal_flow,B3,end_to_end_latency_ms,30,20,362.0,0.1,22.566051,6.44
normal_flow,B4,event_detection_accuracy,30,1,0.0,1.0,0.0,
normal_flow,B4,false_positive_rate,30,1,1.0,1.0,0.0,0.0
normal_flow,B4,false_negative_rate,30,1,1.0,1.0,0.0,0.0
normal_flow,B4,explanation_completeness_score,30,1,0.0,1.0,0.0,
normal_flow,B4,end_to_end_latency_ms,30,20,179.0,0.1,22.566051,13.5
normal_flow,B5,event_detection_accuracy,30,1,1.0,1.0,0.0,0.0
normal_flow,B5,false_positive_rate,30,1,0.027,1.0,0.0,0.0
normal_flow,B5,false_negative_rate,30,1,0.0,1.0,0.0,
normal_flow,B5,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
normal_flow,B5,end_to_end_latency_ms,30,20,179.0,0.1,22.566051,13.5
