paper_baseline,baseline_id,scenario,seed,event_detection_accuracy,false_positive_rate,false_negative_rate,explanation_completeness_score,privacy_violation_count,end_to_end_latency_ms
B1,single_modality_alert,normal_flow,1,1.0,0.0,0.0,1.0,0,529.0
B2,rule_based_fusion,normal_flow,1,0.0,0.0,1.0,0.0,0,267.0
B3,temporal_graph,normal_flow,1,1.0,0.0,0.0,1.0,0,312.0
B4,no_explanation_layer,normal_flow,1,0.0,1.0,1.0,0.0,0,129.0
B5,dualexis_full_pipeline,normal_flow,1,1.0,0.027,0.0,1.0,0,129.0
B1,single_modality_alert,normal_flow,2,1.0,0.0,0.0,1.0,0,280.0
B2,rule_based_fusion,normal_flow,2,0.0,0.0,1.0,0.0,0,268.0
B3,temporal_graph,normal_flow,2,1.0,0.0,0.0,1.0,0,313.0
B4,no_explanation_layer,normal_flow,2,0.0,1.0,1.0,0.0,0,130.0
B5,dualexis_full_pipeline,normal_flow,2,1.0,0.027,0.0,1.0,0,130.0
B1,single_modality_alert,normal_flow,3,1.0,0.0,0.0,1.0,0,281.0
B2,rule_based_fusion,normal_flow,3,0.0,0.0,1.0,0.0,0,269.0
B3,temporal_graph,normal_flow,3,1.0,0.0,0.0,1.0,0,314.0
B4,no_explanation_layer,normal_flow,3,0.0,1.0,1.0,0.0,0,131.0
B5,dualexis_full_pipeline,normal_flow,3,1.0,0.027,0.0,1.0,0,131.0
B1,single_modality_alert,normal_flow,4,1.0,0.0,0.0,1.0,0,282.0
B2,rule_based_fusion,normal_flow,4,0.0,0.0,1.0,0.0,0,270.0
B3,temporal_graph,normal_flow,4,1.0,0.0,0.0,1.0,0,315.0
B4,no_explanation_layer,normal_flow,4,0.0,1.0,1.0,0.0,0,132.0
B5,dualexis_full_pipeline,normal_flow,4,1.0,0.027,0.0,1.0,0,132.0
B1,single_modality_alert,normal_flow,5,1.0,0.0,0.0,1.0,0,283.0
B2,rule_based_fusion,normal_flow,5,0.0,0.0,1.0,0.0,0,271.0
B3,temporal_graph,normal_flow,5,1.0,0.0,0.0,1.0,0,316.0
B4,no_explanation_layer,normal_flow,5,0.0,1.0,1.0,0.0,0,133.0
B5,dualexis_full_pipeline,normal_flow,5,1.0,0.027,0.0,1.0,0,133.0
B1,single_modality_alert,normal_flow,6,1.0,0.0,0.0,1.0,0,284.0
B2,rule_based_fusion,normal_flow,6,0.0,0.0,1.0,0.0,0,272.0
B3,temporal_graph,normal_flow,6,1.0,0.0,0.0,1.0,0,317.0
B4,no_explanation_layer,normal_flow,6,0.0,1.0,1.0,0.0,0,134.0
B5,dualexis_full_pipeline,normal_flow,6,1.0,0.027,0.0,1.0,0,134.0
B1,single_modality_alert,normal_flow,7,1.0,0.0,0.0,1.0,0,285.0
B2,rule_based_fusion,normal_flow,7,0.0,0.0,1.0,0.0,0,273.0
B3,temporal_graph,normal_flow,7,1.0,0.0,0.0,1.0,0,318.0
B4,no_explanation_layer,normal_flow,7,0.0,1.0,1.0,0.0,0,135.0
B5,dualexis_full_pipeline,normal_flow,7,1.0,0.027,0.0,1.0,0,135.0
B1,single_modality_alert,normal_flow,8,1.0,0.0,0.0,1.0,0,286.0
B2,rule_based_fusion,normal_flow,8,0.0,0.0,1.0,0.0,0,274.0
B3,temporal_graph,normal_flow,8,1.0,0.0,0.0,1.0,0,319.0
B4,no_explanation_layer,normal_flow,8,0.0,1.0,1.0,0.0,0,136.0
B5,dualexis_full_pipeline,normal_flow,8,1.0,0.027,0.0,1.0,0,136.0
B1,single_modality_alert,normal_flow,9,1.0,0.0,0.0,1.0,0,287.0
B2,rule_based_fusion,normal_flow,9,0.0,0.0,1.0,0.0,0,275.0
B3,temporal_graph,normal_flow,9,1.0,0.0,0.0,1.0,0,320.0
B4,no_explanation_layer,normal_flow,9,0.0,1.0,1.0,0.0,0,137.0
B5,dualexis_full_pipeline,normal_flow,9,1.0,0.027,0.0,1.0,0,137.0
B1,single_modality_alert,normal_flow,10,1.0,0.0,0.0,1.0,0,327.0
B2,rule_based_fusion,normal_flow,10,0.0,0.0,1.0,0.0,0,315.0
B3,temporal_graph,normal_flow,10,1.0,0.0,0.0,1.0,0,360.0
B4,no_explanation_layer,normal_flow,10,0.0,1.0,1.0,0.0,0,177.0
B5,dualexis_full_pipeline,normal_flow,10,1.0,0.027,0.0,1.0,0,177.0
B1,single_modality_alert,normal_flow,11,1.0,0.0,0.0,1.0,0,328.0
B2,rule_based_fusion,normal_flow,11,0.0,0.0,1.0,0.0,0,316.0
B3,temporal_graph,normal_flow,11,1.0,0.0,0.0,1.0,0,361.0
B4,no_explanation_layer,normal_flow,11,0.0,1.0,1.0,0.0,0,178.0
B5,dualexis_full_pipeline,normal_flow,11,1.0,0.027,0.0,1.0,0,178.0
B1,single_modality_alert,normal_flow,12,1.0,0.0,0.0,1.0,0,329.0
B2,rule_based_fusion,normal_flow,12,0.0,0.0,1.0,0.0,0,317.0
B3,temporal_graph,normal_flow,12,1.0,0.0,0.0,1.0,0,362.0
B4,no_explanation_layer,normal_flow,12,0.0,1.0,1.0,0.0,0,179.0
B5,dualexis_full_pipeline,normal_flow,12,1.0,0.027,0.0,1.0,0,179.0
B1,single_modality_alert,normal_flow,13,1.0,0.0,0.0,1.0,0,330.0
B2,rule_based_fusion,normal_flow,13,0.0,0.0,1.0,0.0,0,318.0
B3,temporal_graph,normal_flow,13,1.0,0.0,0.0,1.0,0,363.0
B4,no_explanation_layer,normal_flow,13,0.0,1.0,1.0,0.0,0,180.0
B5,dualexis_full_pipeline,normal_flow,13,1.0,0.027,0.0,1.0,0,180.0
B1,single_modality_alert,normal_flow,14,1.0,0.0,0.0,1.0,0,331.0
B2,rule_based_fusion,normal_flow,14,0.0,0.0,1.0,0.0,0,319.0
B3,temporal_graph,normal_flow,14,1.0,0.0,0.0,1.0,0,364.0
B4,no_explanation_layer,normal_flow,14,0.0,1.0,1.0,0.0,0,181.0
B5,dualexis_full_pipeline,normal_flow,14,1.0,0.027,0.0,1.0,0,181.0
B1,single_modality_alert,normal_flow,15,1.0,0.0,0.0,1.0,0,332.0
B2,rule_based_fusion,normal_flow,15,0.0,0.0,1.0,0.0,0,320.0
B3,temporal_graph,normal_flow,15,1.0,0.0,0.0,1.0,0,365.0
B4,no_explanation_layer,normal_flow,15,0.0,1.0,1.0,0.0,0,182.0
B5,dualexis_full_pipeline,normal_flow,15,1.0,0.027,0.0,1.0,0,182.0
B1,single_modality_alert,normal_flow,16,1.0,0.0,0.0,1.0,0,333.0
B2,rule_based_fusion,normal_flow,16,0.0,0.0,1.0,0.0,0,321.0
B3,temporal_graph,normal_flow,16,1.0,0.0,0.0,1.0,0,366.0
B4,no_explanation_layer,normal_flow,16,0.0,1.0,1.0,0.0,0,183.0
B5,dualexis_full_pipeline,normal_flow,16,1.0,0.027,0.0,1.0,0,183.0
B1,single_modality_alert,normal_flow,17,1.0,0.0,0.0,1.0,0,334.0
B2,rule_based_fusion,normal_flow,17,0.0,0.0,1.0,0.0,0,322.0
B3,temporal_graph,normal_flow,17,1.0,0.0,0.0,1.0,0,367.0
B4,no_explanation_layer,normal_flow,17,0.0,1.0,1.0,0.0,0,184.0
B5,dualexis_full_pipeline,normal_flow,17,1.0,0.027,0.0,1.0,0,184.0
B1,single_modality_alert,normal_flow,18,1.0,0.0,0.0,1.0,0,335.0
B2,rule_based_fusion,normal_flow,18,0.0,0.0,1.0,0.0,0,323.0
B3,temporal_graph,normal_flow,18,1.0,0.0,0.0,1.0,0,368.0
B4,no_explanation_layer,normal_flow,18,0.0,1.0,1.0,0.0,0,185.0
B5,dualexis_full_pipeline,normal_flow,18,1.0,0.027,0.0,1.0,0,185.0
B1,single_modality_alert,normal_flow,19,1.0,0.0,0.0,1.0,0,336.0
B2,rule_based_fusion,normal_flow,19,0.0,0.0,1.0,0.0,0,324.0
B3,temporal_graph,normal_flow,19,1.0,0.0,0.0,1.0,0,369.0
B4,no_explanation_layer,normal_flow,19,0.0,1.0,1.0,0.0,0,186.0
B5,dualexis_full_pipeline,normal_flow,19,1.0,0.027,0.0,1.0,0,186.0
B1,single_modality_alert,normal_flow,20,1.0,0.0,0.0,1.0,0,328.0
B2,rule_based_fusion,normal_flow,20,0.0,0.0,1.0,0.0,0,316.0
B3,temporal_graph,normal_flow,20,1.0,0.0,0.0,1.0,0,361.0
B4,no_explanation_layer,normal_flow,20,0.0,1.0,1.0,0.0,0,178.0
B5,dualexis_full_pipeline,normal_flow,20,1.0,0.027,0.0,1.0,0,178.0
B1,single_modality_alert,normal_flow,21,1.0,0.0,0.0,1.0,0,329.0
B2,rule_based_fusion,normal_flow,21,0.0,0.0,1.0,0.0,0,317.0
B3,temporal_graph,normal_flow,21,1.0,0.0,0.0,1.0,0,362.0
B4,no_explanation_layer,normal_flow,21,0.0,1.0,1.0,0.0,0,179.0
B5,dualexis_full_pipeline,normal_flow,21,1.0,0.027,0.0,1.0,0,179.0
B1,single_modality_alert,normal_flow,22,1.0,0.0,0.0,1.0,0,330.0
B2,rule_based_fusion,normal_flow,22,0.0,0.0,1.0,0.0,0,318.0
B3,temporal_graph,normal_flow,22,1.0,0.0,0.0,1.0,0,363.0
B4,no_explanation_layer,normal_flow,22,0.0,1.0,1.0,0.0,0,180.0
B5,dualexis_full_pipeline,normal_flow,22,1.0,0.027,0.0,1.0,0,180.0
B1,single_modality_alert,normal_flow,23,1.0,0.0,0.0,1.0,0,331.0
B2,rule_based_fusion,normal_flow,23,0.0,0.0,1.0,0.0,0,319.0
B3,temporal_graph,normal_flow,23,1.0,0.0,0.0,1.0,0,364.0
B4,no_explanation_layer,normal_flow,23,0.0,1.0,1.0,0.0,0,181.0
B5,dualexis_full_pipeline,normal_flow,23,1.0,0.027,0.0,1.0,0,181.0
B1,single_modality_alert,normal_flow,24,1.0,0.0,0.0,1.0,0,332.0
B2,rule_based_fusion,normal_flow,24,0.0,0.0,1.0,0.0,0,320.0
B3,temporal_graph,normal_flow,24,1.0,0.0,0.0,1.0,0,365.0
B4,no_explanation_layer,normal_flow,24,0.0,1.0,1.0,0.0,0,182.0
B5,dualexis_full_pipeline,normal_flow,24,1.0,0.027,0.0,1.0,0,182.0
B1,single_modality_alert,normal_flow,25,1.0,0.0,0.0,1.0,0,333.0
B2,rule_based_fusion,normal_flow,25,0.0,0.0,1.0,0.0,0,321.0
B3,temporal_graph,normal_flow,25,1.0,0.0,0.0,1.0,0,366.0
B4,no_explanation_layer,normal_flow,25,0.0,1.0,1.0,0.0,0,183.0
B5,dualexis_full_pipeline,normal_flow,25,1.0,0.027,0.0,1.0,0,183.0
B1,single_modality_alert,normal_flow,26,1.0,0.0,0.0,1.0,0,334.0
B2,rule_based_fusion,normal_flow,26,0.0,0.0,1.0,0.0,0,322.0
B3,temporal_graph,normal_flow,26,1.0,0.0,0.0,1.0,0,367.0
B4,no_explanation_layer,normal_flow,26,0.0,1.0,1.0,0.0,0,184.0
B5,dualexis_full_pipeline,normal_flow,26,1.0,0.027,0.0,1.0,0,184.0
B1,single_modality_alert,normal_flow,27,1.0,0.0,0.0,1.0,0,335.0
B2,rule_based_fusion,normal_flow,27,0.0,0.0,1.0,0.0,0,323.0
B3,temporal_graph,normal_flow,27,1.0,0.0,0.0,1.0,0,368.0
B4,no_explanation_layer,normal_flow,27,0.0,1.0,1.0,0.0,0,185.0
B5,dualexis_full_pipeline,normal_flow,27,1.0,0.027,0.0,1.0,0,185.0
B1,single_modality_alert,normal_flow,28,1.0,0.0,0.0,1.0,0,336.0
B2,rule_based_fusion,normal_flow,28,0.0,0.0,1.0,0.0,0,324.0
B3,temporal_graph,normal_flow,28,1.0,0.0,0.0,1.0,0,369.0
B4,no_explanation_layer,normal_flow,28,0.0,1.0,1.0,0.0,0,186.0
B5,dualexis_full_pipeline,normal_flow,28,1.0,0.027,0.0,1.0,0,186.0
B1,single_modality_alert,normal_flow,29,1.0,0.0,0.0,1.0,0,337.0
B2,rule_based_fusion,normal_flow,29,0.0,0.0,1.0,0.0,0,325.0
B3,temporal_graph,normal_flow,29,1.0,0.0,0.0,1.0,0,370.0
B4,no_explanation_layer,normal_flow,29,0.0,1.0,1.0,0.0,0,187.0
B5,dualexis_full_pipeline,normal_flow,29,1.0,0.027,0.0,1.0,0,187.0
B1,single_modality_alert,normal_flow,30,1.0,0.0,0.0,1.0,0,329.0
B2,rule_based_fusion,normal_flow,30,0.0,0.0,1.0,0.0,0,317.0
B3,temporal_graph,normal_flow,30,1.0,0.0,0.0,1.0,0,362.0
B4,no_explanation_layer,normal_flow,30,0.0,1.0,1.0,0.0,0,179.0
B5,dualexis_full_pipeline,normal_flow,30,1.0,0.027,0.0,1.0,0,179.0
B1,single_modality_alert,exit_blockage,1,0.5,0.3333,0.5,1.0,0,529.0
B2,rule_based_fusion,exit_blockage,1,0.05,0.0,0.95,1.0,0,267.0
B3,temporal_graph,exit_blockage,1,0.5,0.3333,0.5,1.0,0,312.0
B4,no_explanation_layer,exit_blockage,1,0.0,1.0,1.0,0.0,0,129.0
B5,dualexis_full_pipeline,exit_blockage,1,0.5,0.375,0.5,1.0,0,129.0
B1,single_modality_alert,exit_blockage,2,0.5,0.3333,0.5,1.0,0,280.0
B2,rule_based_fusion,exit_blockage,2,0.05,0.0,0.95,1.0,0,268.0
B3,temporal_graph,exit_blockage,2,0.5,0.3333,0.5,1.0,0,313.0
B4,no_explanation_layer,exit_blockage,2,0.0,1.0,1.0,0.0,0,130.0
B5,dualexis_full_pipeline,exit_blockage,2,0.5,0.375,0.5,1.0,0,130.0
B1,single_modality_alert,exit_blockage,3,0.5,0.3333,0.5,1.0,0,281.0
B2,rule_based_fusion,exit_blockage,3,0.05,0.0,0.95,1.0,0,269.0
B3,temporal_graph,exit_blockage,3,0.5,0.3333,0.5,1.0,0,314.0
B4,no_explanation_layer,exit_blockage,3,0.0,1.0,1.0,0.0,0,131.0
B5,dualexis_full_pipeline,exit_blockage,3,0.5,0.375,0.5,1.0,0,131.0
B1,single_modality_alert,exit_blockage,4,0.5,0.3333,0.5,1.0,0,282.0
B2,rule_based_fusion,exit_blockage,4,0.05,0.0,0.95,1.0,0,270.0
B3,temporal_graph,exit_blockage,4,0.5,0.3333,0.5,1.0,0,315.0
B4,no_explanation_layer,exit_blockage,4,0.0,1.0,1.0,0.0,0,132.0
B5,dualexis_full_pipeline,exit_blockage,4,0.5,0.375,0.5,1.0,0,132.0
B1,single_modality_alert,exit_blockage,5,0.5,0.3333,0.5,1.0,0,283.0
B2,rule_based_fusion,exit_blockage,5,0.0,0.0,1.0,0.0,0,271.0
B3,temporal_graph,exit_blockage,5,0.5,0.3333,0.5,1.0,0,316.0
B4,no_explanation_layer,exit_blockage,5,0.0,1.0,1.0,0.0,0,133.0
B5,dualexis_full_pipeline,exit_blockage,5,0.5,0.375,0.5,1.0,0,133.0
B1,single_modality_alert,exit_blockage,6,0.5,0.3333,0.5,1.0,0,284.0
B2,rule_based_fusion,exit_blockage,6,0.05,0.0,0.95,1.0,0,272.0
B3,temporal_graph,exit_blockage,6,0.5,0.3333,0.5,1.0,0,317.0
B4,no_explanation_layer,exit_blockage,6,0.0,1.0,1.0,0.0,0,134.0
B5,dualexis_full_pipeline,exit_blockage,6,0.5,0.375,0.5,1.0,0,134.0
B1,single_modality_alert,exit_blockage,7,0.5,0.375,0.5,1.0,0,285.0
B2,rule_based_fusion,exit_blockage,7,0.05,0.0,0.95,1.0,0,273.0
B3,temporal_graph,exit_blockage,7,0.5,0.375,0.5,1.0,0,318.0
B4,no_explanation_layer,exit_blockage,7,0.0,1.0,1.0,0.0,0,135.0
B5,dualexis_full_pipeline,exit_blockage,7,0.5,0.4118,0.5,1.0,0,135.0
B1,single_modality_alert,exit_blockage,8,0.5,0.375,0.5,1.0,0,286.0
B2,rule_based_fusion,exit_blockage,8,0.05,0.0,0.95,1.0,0,274.0
B3,temporal_graph,exit_blockage,8,0.5,0.375,0.5,1.0,0,319.0
B4,no_explanation_layer,exit_blockage,8,0.0,1.0,1.0,0.0,0,136.0
B5,dualexis_full_pipeline,exit_blockage,8,0.5,0.4118,0.5,1.0,0,136.0
B1,single_modality_alert,exit_blockage,9,0.5,0.3333,0.5,1.0,0,287.0
B2,rule_based_fusion,exit_blockage,9,0.05,0.0,0.95,1.0,0,275.0
B3,temporal_graph,exit_blockage,9,0.5,0.3333,0.5,1.0,0,320.0
B4,no_explanation_layer,exit_blockage,9,0.0,1.0,1.0,0.0,0,137.0
B5,dualexis_full_pipeline,exit_blockage,9,0.5,0.375,0.5,1.0,0,137.0
B1,single_modality_alert,exit_blockage,10,0.5,0.3333,0.5,1.0,0,327.0
B2,rule_based_fusion,exit_blockage,10,0.0,0.0,1.0,0.0,0,315.0
B3,temporal_graph,exit_blockage,10,0.5,0.3333,0.5,1.0,0,360.0
B4,no_explanation_layer,exit_blockage,10,0.0,1.0,1.0,0.0,0,177.0
B5,dualexis_full_pipeline,exit_blockage,10,0.5,0.375,0.5,1.0,0,177.0
B1,single_modality_alert,exit_blockage,11,0.5,0.375,0.5,1.0,0,328.0
B2,rule_based_fusion,exit_blockage,11,0.05,0.0,0.95,1.0,0,316.0
B3,temporal_graph,exit_blockage,11,0.5,0.375,0.5,1.0,0,361.0
B4,no_explanation_layer,exit_blockage,11,0.0,1.0,1.0,0.0,0,178.0
B5,dualexis_full_pipeline,exit_blockage,11,0.5,0.4118,0.5,1.0,0,178.0
B1,single_modality_alert,exit_blockage,12,0.5,0.3333,0.5,1.0,0,329.0
B2,rule_based_fusion,exit_blockage,12,0.05,0.0,0.95,1.0,0,317.0
B3,temporal_graph,exit_blockage,12,0.5,0.3333,0.5,1.0,0,362.0
B4,no_explanation_layer,exit_blockage,12,0.0,1.0,1.0,0.0,0,179.0
B5,dualexis_full_pipeline,exit_blockage,12,0.5,0.375,0.5,1.0,0,179.0
B1,single_modality_alert,exit_blockage,13,0.5,0.3333,0.5,1.0,0,330.0
B2,rule_based_fusion,exit_blockage,13,0.05,0.0,0.95,1.0,0,318.0
B3,temporal_graph,exit_blockage,13,0.5,0.3333,0.5,1.0,0,363.0
B4,no_explanation_layer,exit_blockage,13,0.0,1.0,1.0,0.0,0,180.0
B5,dualexis_full_pipeline,exit_blockage,13,0.5,0.375,0.5,1.0,0,180.0
B1,single_modality_alert,exit_blockage,14,0.5,0.3333,0.5,1.0,0,331.0
B2,rule_based_fusion,exit_blockage,14,0.05,0.0,0.95,1.0,0,319.0
B3,temporal_graph,exit_blockage,14,0.5,0.3333,0.5,1.0,0,364.0
B4,no_explanation_layer,exit_blockage,14,0.0,1.0,1.0,0.0,0,181.0
B5,dualexis_full_pipeline,exit_blockage,14,0.5,0.375,0.5,1.0,0,181.0
B1,single_modality_alert,exit_blockage,15,0.5,0.3333,0.5,1.0,0,332.0
B2,rule_based_fusion,exit_blockage,15,0.0,0.0,1.0,0.0,0,320.0
B3,temporal_graph,exit_blockage,15,0.5,0.3333,0.5,1.0,0,365.0
B4,no_explanation_layer,exit_blockage,15,0.0,1.0,1.0,0.0,0,182.0
B5,dualexis_full_pipeline,exit_blockage,15,0.5,0.375,0.5,1.0,0,182.0
B1,single_modality_alert,exit_blockage,16,0.5,0.3333,0.5,1.0,0,333.0
B2,rule_based_fusion,exit_blockage,16,0.05,0.0,0.95,1.0,0,321.0
B3,temporal_graph,exit_blockage,16,0.5,0.3333,0.5,1.0,0,366.0
B4,no_explanation_layer,exit_blockage,16,0.0,1.0,1.0,0.0,0,183.0
B5,dualexis_full_pipeline,exit_blockage,16,0.5,0.375,0.5,1.0,0,183.0
B1,single_modality_alert,exit_blockage,17,0.5,0.3333,0.5,1.0,0,334.0
B2,rule_based_fusion,exit_blockage,17,0.05,0.0,0.95,1.0,0,322.0
B3,temporal_graph,exit_blockage,17,0.5,0.3333,0.5,1.0,0,367.0
B4,no_explanation_layer,exit_blockage,17,0.0,1.0,1.0,0.0,0,184.0
B5,dualexis_full_pipeline,exit_blockage,17,0.5,0.375,0.5,1.0,0,184.0
B1,single_modality_alert,exit_blockage,18,0.5,0.375,0.5,1.0,0,335.0
B2,rule_based_fusion,exit_blockage,18,0.05,0.0,0.95,1.0,0,323.0
B3,temporal_graph,exit_blockage,18,0.5,0.375,0.5,1.0,0,368.0
B4,no_explanation_layer,exit_blockage,18,0.0,1.0,1.0,0.0,0,185.0
B5,dualexis_full_pipeline,exit_blockage,18,0.5,0.4118,0.5,1.0,0,185.0
B1,single_modality_alert,exit_blockage,19,0.5,0.3333,0.5,1.0,0,336.0
